ID,Path,Substation_Path,Total_Transfer_Capacity,Start_Transfer_Capacity,Change_in_Transfer_Capacity
1,jakarta_to_banten_1,,0.0,373.268328,-373.268328
2,jakarta_to_banten_2,,0.0,373.268328,-373.268328
3,jakarta_to_banten_3,,0.0,373.268328,-373.268328
4,jakarta_to_banten_4,,0.0,373.268328,-373.268328
5,jakarta_to_banten_5,,0.0,373.268328,-373.268328
6,jakarta_to_banten_6,,0.0,373.268328,-373.268328
7,jakarta_to_banten_7,,0.0,373.268328,-373.268328
8,jakarta_to_banten_8,,0.0,373.268328,-373.268328
9,jakarta_to_banten_9,,0.0,373.268328,-373.268328
10,jakarta_to_banten_new,,0.0,500.0,-500.0
11,jakarta_to_west_jawa_1,,0.0,277.504561,-277.504561
12,jakarta_to_west_jawa_2,,0.0,277.504561,-277.504561
13,jakarta_to_west_jawa_3,,0.0,277.504561,-277.504561
14,jakarta_to_west_jawa_4,,0.0,3083.384012,-3083.384012
15,jakarta_to_west_jawa_5,,0.0,3083.384012,-3083.384012
16,jakarta_to_west_jawa_6,,0.0,60.43432663,-60.43432663
17,banten_to_west_jawa_1,,0.0,2050.954055,-2050.954055
18,banten_to_west_jawa_2,,0.0,2050.954055,-2050.954055
19,banten_to_west_jawa_3,,0.0,2050.954055,-2050.954055
20,banten_to_west_jawa_4,,0.0,2050.954055,-2050.954055
21,banten_to_west_jawa_5,,0.0,2050.954055,-2050.954055
22,banten_to_west_jawa_6,,0.0,2050.954055,-2050.954055
23,banten_to_west_jawa_7,,0.0,2050.954055,-2050.954055
24,banten_to_west_jawa_8,,0.0,40.19869948,-40.19869948
25,banten_to_west_jawa_9,,0.0,40.19869948,-40.19869948
26,banten_to_west_jawa_10,,0.0,40.19869948,-40.19869948
27,banten_to_west_jawa_new,,0.0,500.0,-500.0
28,west_jawa_to_central_jawa_1,,0.0,1226.881776,-1226.881776
29,west_jawa_to_central_jawa_2,,0.0,1226.881776,-1226.881776
30,west_jawa_to_central_jawa_3,,0.0,1226.881776,-1226.881776
31,west_jawa_to_central_jawa_4,,0.0,1226.881776,-1226.881776
32,west_jawa_to_central_jawa_5,,0.0,1226.881776,-1226.881776
33,west_jawa_to_central_jawa_6,,0.0,1226.881776,-1226.881776
34,west_jawa_to_central_jawa_7,,0.0,110.4193598,-110.4193598
35,west_jawa_to_central_jawa_8,,0.0,110.4193598,-110.4193598
36,west_jawa_to_central_jawa_new,,0.0,500.0,-500.0
37,central_jawa_to_yogyakarta_1,,0.0,423.1729917,-423.1729917
38,central_jawa_to_yogyakarta_2,,0.0,423.1729917,-423.1729917
39,central_jawa_to_yogyakarta_3,,0.0,423.1729917,-423.1729917
40,central_jawa_to_yogyakarta_4,,0.0,423.1729917,-423.1729917
41,central_jawa_to_yogyakarta_new,,0.0,500.0,-500.0
42,central_jawa_to_east_jawa_1,,0.0,1296.416436,-1296.416436
43,central_jawa_to_east_jawa_2,,0.0,1296.416436,-1296.416436
44,central_jawa_to_east_jawa_3,,0.0,1296.416436,-1296.416436
45,central_jawa_to_east_jawa_4,,0.0,1296.416436,-1296.416436
46,central_jawa_to_east_jawa_5,,0.0,1296.416436,-1296.416436
47,central_jawa_to_east_jawa_6,,0.0,1296.416436,-1296.416436
48,central_jawa_to_east_jawa_7,,0.0,116.6774793,-116.6774793
49,central_jawa_to_east_jawa_8,,0.0,116.6774793,-116.6774793
50,central_jawa_to_east_jawa_new,,0.0,500.0,-500.0
51,east_jawa_to_bali_1,,0.0,1264.836335,-1264.836335
52,east_jawa_to_bali_2,,0.0,1264.836335,-1264.836335
53,east_jawa_to_bali_3,,0.0,113.8352701,-113.8352701
54,east_jawa_to_bali_4,,0.0,113.8352701,-113.8352701
55,east_jawa_to_bali_5,,0.0,113.8352701,-113.8352701
56,east_jawa_to_bali_6,,0.0,113.8352701,-113.8352701
57,east_jawa_to_bali_new,,0.0,500.0,-500.0
